Date,Close/Last,Volume,Open,High,Low
7/24/2024,2.117,60124,2.153,2.17,2.102
7/23/2024,2.187,101886,2.245,2.265,2.123
7/22/2024,2.251,136869,2.104,2.27,2.09
7/19/2024,2.128,96794,2.089,2.143,2.057
7/18/2024,2.125,143006,2.047,2.134,2.024
7/17/2024,2.035,193517,2.181,2.208,2.015
7/16/2024,2.188,120740,2.17,2.218,2.149
7/15/2024,2.158,177756,2.273,2.285,2.147
7/12/2024,2.329,120501,2.267,2.35,2.249
7/11/2024,2.268,114135,2.326,2.343,2.261
7/10/2024,2.329,135648,2.346,2.385,2.292
7/9/2024,2.344,144767,2.373,2.448,2.331
7/8/2024,2.366,151825,2.27,2.39,2.268
7/5/2024,2.319,149303,2.421,2.44,2.315
7/3/2024,2.418,121781,2.466,2.48,2.41
7/2/2024,2.435,149042,2.476,2.484,2.415
7/1/2024,2.478,171612,2.576,2.602,2.471
6/28/2024,2.601,143712,2.702,2.765,2.594
6/27/2024,2.685,135924,2.734,2.784,2.673
6/26/2024,2.628,1559,2.737,2.746,2.613
6/25/2024,2.756,58540,2.816,2.844,2.699
6/24/2024,2.811,43327,2.67,2.834,2.635
6/21/2024,2.705,75786,2.725,2.77,2.672
6/20/2024,2.741,176172,2.903,2.948,2.723
6/18/2024,2.909,138102,2.772,2.916,2.772
6/17/2024,2.788,133930,2.846,2.848,2.759
6/14/2024,2.881,138507,2.921,3,2.87
6/13/2024,2.959,180293,3.028,3.091,2.898
6/12/2024,3.045,189009,3.13,3.132,2.995
6/11/2024,3.129,200816,2.985,3.159,2.966
6/10/2024,2.906,236721,2.98,3.096,2.862
6/7/2024,2.918,178128,2.814,2.967,2.791
6/6/2024,2.821,174954,2.762,2.877,2.724
6/5/2024,2.757,188623,2.617,2.787,2.605
6/4/2024,2.586,205603,2.772,2.829,2.573
6/3/2024,2.756,213955,2.645,2.799,2.628
5/31/2024,2.587,124893,2.57,2.624,2.518
5/30/2024,2.572,152087,2.662,2.682,2.562
5/29/2024,2.493,2512,2.594,2.669,2.417
5/28/2024,2.59,59517,2.503,2.621,2.475
5/24/2024,2.52,48907,2.676,2.709,2.493
5/23/2024,2.657,110796,2.799,2.924,2.64
5/22/2024,2.842,168918,2.665,2.851,2.609
5/21/2024,2.671,160134,2.733,2.798,2.64
5/20/2024,2.751,191048,2.659,2.756,2.625
5/17/2024,2.626,161597,2.487,2.654,2.485
5/16/2024,2.495,209899,2.405,2.575,2.389
5/15/2024,2.416,164802,2.343,2.424,2.313
5/14/2024,2.344,142270,2.362,2.397,2.306
5/13/2024,2.381,153587,2.25,2.384,2.214
5/10/2024,2.252,132733,2.307,2.344,2.242
5/9/2024,2.301,195903,2.186,2.316,2.153
5/8/2024,2.187,138146,2.219,2.274,2.167
5/7/2024,2.207,135646,2.206,2.23,2.142
5/6/2024,2.195,183955,2.17,2.262,2.133
5/3/2024,2.142,197601,2.031,2.16,2.012
5/2/2024,2.035,143150,1.931,2.05,1.927
5/1/2024,1.932,128497,1.954,1.97,1.913
4/30/2024,1.991,140670,2.05,2.092,1.951
4/29/2024,2.03,149879,1.923,2.056,1.916
4/26/2024,1.614,3280,1.622,1.628,1.482
4/25/2024,1.638,53102,1.644,1.675,1.583
4/24/2024,1.653,55521,1.836,1.84,1.634
4/23/2024,1.812,65647,1.798,1.848,1.745
4/22/2024,1.791,98441,1.765,1.8,1.721
4/19/2024,1.752,138745,1.741,1.806,1.724
4/18/2024,1.757,148136,1.722,1.78,1.713
4/17/2024,1.712,126398,1.68,1.724,1.66
4/16/2024,1.732,198201,1.695,1.802,1.649
4/15/2024,1.691,145633,1.772,1.792,1.678
4/12/2024,1.77,136934,1.767,1.785,1.731
4/11/2024,1.764,197063,1.874,1.892,1.754
4/10/2024,1.885,142646,1.888,1.943,1.867
4/9/2024,1.872,175301,1.847,1.924,1.838
4/8/2024,1.844,175098,1.77,1.85,1.746
4/5/2024,1.785,144150,1.779,1.823,1.755
4/4/2024,1.774,165535,1.844,1.853,1.769
4/3/2024,1.841,123203,1.852,1.906,1.836
4/2/2024,1.862,159336,1.837,1.881,1.778
4/1/2024,1.837,152524,1.755,1.853,1.706
3/28/2024,1.763,135278,1.717,1.786,1.686
3/27/2024,1.718,129942,1.789,1.789,1.704
3/26/2024,1.575,3371,1.608,1.647,1.481
3/25/2024,1.615,56919,1.664,1.675,1.589
3/22/2024,1.659,36237,1.684,1.712,1.647
3/21/2024,1.683,67147,1.699,1.713,1.651
3/20/2024,1.699,101079,1.75,1.765,1.686
3/19/2024,1.744,110687,1.717,1.769,1.701
3/18/2024,1.703,128551,1.689,1.762,1.684
3/15/2024,1.655,137507,1.757,1.774,1.646
3/14/2024,1.741,145899,1.668,1.767,1.643
3/13/2024,1.658,151262,1.713,1.717,1.651
3/12/2024,1.714,177303,1.758,1.823,1.691
3/11/2024,1.759,138099,1.805,1.841,1.746
3/8/2024,1.805,127482,1.796,1.837,1.755
3/7/2024,1.818,158271,1.929,1.955,1.782
3/6/2024,1.929,97166,1.95,1.983,1.921
3/5/2024,1.957,135677,1.928,2.009,1.89
3/4/2024,1.916,175883,1.873,1.989,1.87
3/1/2024,1.835,96476,1.852,1.888,1.81
2/29/2024,1.86,136204,1.868,1.918,1.829
2/28/2024,1.885,137668,1.817,1.906,1.782
2/27/2024,1.615,3637,1.625,1.72,1.511
2/26/2024,1.659,76273,1.66,1.73,1.594
2/23/2024,1.603,43961,1.722,1.722,1.581
