game_name,drawing_date,number_drawn
Mega Millions,1/3/2012,15
Mega Millions,1/3/2012,36
Mega Millions,1/3/2012,2
Mega Millions,1/3/2012,3
Mega Millions,1/3/2012,22
Mega Millions,1/6/2012,34
Mega Millions,1/6/2012,28
Mega Millions,1/6/2012,9
Mega Millions,1/6/2012,48
Mega Millions,1/6/2012,17
Mega Millions,1/10/2012,10
Mega Millions,1/10/2012,48
Mega Millions,1/10/2012,38
Mega Millions,1/10/2012,4
Mega Millions,1/10/2012,16
Mega Millions,1/13/2012,10
Mega Millions,1/13/2012,27
Mega Millions,1/13/2012,28
Mega Millions,1/13/2012,51
Mega Millions,1/13/2012,37
Mega Millions,1/17/2012,15
Mega Millions,1/17/2012,53
Mega Millions,1/17/2012,31
Mega Millions,1/17/2012,3
Mega Millions,1/17/2012,36
Mega Millions,1/20/2012,38
Mega Millions,1/20/2012,47
Mega Millions,1/20/2012,28
Mega Millions,1/20/2012,9
Mega Millions,1/20/2012,1
Mega Millions,1/24/2012,10
Mega Millions,1/24/2012,49
Mega Millions,1/24/2012,22
Mega Millions,1/24/2012,36
Mega Millions,1/24/2012,24
Mega Millions,1/27/2012,5
Mega Millions,1/27/2012,3
Mega Millions,1/27/2012,30
Mega Millions,1/27/2012,36
Mega Millions,1/27/2012,48
Mega Millions,1/31/2012,9
Mega Millions,1/31/2012,18
Mega Millions,1/31/2012,28
Mega Millions,1/31/2012,43
Mega Millions,1/31/2012,17
Mega Millions,2/3/2012,7
Mega Millions,2/3/2012,49
Mega Millions,2/3/2012,19
Mega Millions,2/3/2012,21
Mega Millions,2/3/2012,53
Mega Millions,2/7/2012,37
Mega Millions,2/7/2012,45
Mega Millions,2/7/2012,17
Mega Millions,2/7/2012,30
Mega Millions,2/7/2012,23
Mega Millions,2/10/2012,4
Mega Millions,2/10/2012,50
Mega Millions,2/10/2012,18
Mega Millions,2/10/2012,3
Mega Millions,2/10/2012,29
Mega Millions,2/14/2012,3
Mega Millions,2/14/2012,27
Mega Millions,2/14/2012,5
Mega Millions,2/14/2012,10
Mega Millions,2/14/2012,26
Mega Millions,2/17/2012,16
Mega Millions,2/17/2012,25
Mega Millions,2/17/2012,28
Mega Millions,2/17/2012,32
Mega Millions,2/17/2012,40
Mega Millions,2/21/2012,9
Mega Millions,2/21/2012,39
Mega Millions,2/21/2012,42
Mega Millions,2/21/2012,30
Mega Millions,2/21/2012,47
Mega Millions,2/24/2012,27
Mega Millions,2/24/2012,1
Mega Millions,2/24/2012,16
Mega Millions,2/24/2012,25
Mega Millions,2/24/2012,18
Mega Millions,2/28/2012,51
Mega Millions,2/28/2012,15
Mega Millions,2/28/2012,39
Mega Millions,2/28/2012,29
Mega Millions,2/28/2012,6
Mega Millions,3/2/2012,48
Mega Millions,3/2/2012,29
Mega Millions,3/2/2012,52
Mega Millions,3/2/2012,54
Mega Millions,3/2/2012,16
Mega Millions,3/6/2012,31
Mega Millions,3/6/2012,24
Mega Millions,3/6/2012,20
Mega Millions,3/6/2012,33
Mega Millions,3/6/2012,36
Mega Millions,3/9/2012,42
Mega Millions,3/9/2012,9
Mega Millions,3/9/2012,27
Mega Millions,3/9/2012,10
Mega Millions,3/9/2012,36
Mega Millions,3/13/2012,30
Mega Millions,3/13/2012,2
Mega Millions,3/13/2012,8
Mega Millions,3/13/2012,48
Mega Millions,3/13/2012,36
Mega Millions,3/16/2012,43
Mega Millions,3/16/2012,51
Mega Millions,3/16/2012,53
Mega Millions,3/16/2012,29
Mega Millions,3/16/2012,28
Mega Millions,3/20/2012,6
Mega Millions,3/20/2012,11
Mega Millions,3/20/2012,14
Mega Millions,3/20/2012,4
Mega Millions,3/20/2012,1
Mega Millions,3/23/2012,19
Mega Millions,3/23/2012,17
Mega Millions,3/23/2012,6
Mega Millions,3/23/2012,20
Mega Millions,3/23/2012,21
Mega Millions,3/27/2012,19
Mega Millions,3/27/2012,44
Mega Millions,3/27/2012,34
Mega Millions,3/27/2012,9
Mega Millions,3/27/2012,51
Mega Millions,3/30/2012,46
Mega Millions,3/30/2012,23
Mega Millions,3/30/2012,38
Mega Millions,3/30/2012,4
Mega Millions,3/30/2012,2
Mega Millions,4/3/2012,38
Mega Millions,4/3/2012,11
Mega Millions,4/3/2012,35
Mega Millions,4/3/2012,52
Mega Millions,4/3/2012,41
Mega Millions,4/6/2012,20
Mega Millions,4/6/2012,19
Mega Millions,4/6/2012,33
Mega Millions,4/6/2012,2
Mega Millions,4/6/2012,24
Mega Millions,4/10/2012,48
Mega Millions,4/10/2012,31
Mega Millions,4/10/2012,6
Mega Millions,4/10/2012,2
Mega Millions,4/10/2012,12
Mega Millions,4/13/2012,9
Mega Millions,4/13/2012,17
Mega Millions,4/13/2012,42
Mega Millions,4/13/2012,36
Mega Millions,4/13/2012,14
Mega Millions,4/17/2012,32
Mega Millions,4/17/2012,24
Mega Millions,4/17/2012,48
Mega Millions,4/17/2012,1
Mega Millions,4/17/2012,16
Mega Millions,4/20/2012,33
Mega Millions,4/20/2012,26
Mega Millions,4/20/2012,14
Mega Millions,4/20/2012,35
Mega Millions,4/20/2012,23
Mega Millions,4/24/2012,38
Mega Millions,4/24/2012,15
Mega Millions,4/24/2012,3
Mega Millions,4/24/2012,9
Mega Millions,4/24/2012,37
Mega Millions,4/27/2012,5
Mega Millions,4/27/2012,47
Mega Millions,4/27/2012,2
Mega Millions,4/27/2012,46
Mega Millions,4/27/2012,45
Mega Millions,5/1/2012,45
Mega Millions,5/1/2012,27
Mega Millions,5/1/2012,52
Mega Millions,5/1/2012,31
Mega Millions,5/1/2012,24
Mega Millions,5/4/2012,21
Mega Millions,5/4/2012,4
Mega Millions,5/4/2012,53
Mega Millions,5/4/2012,42
Mega Millions,5/4/2012,11
Mega Millions,5/8/2012,2
Mega Millions,5/8/2012,6
Mega Millions,5/8/2012,8
