game_name,state,number_winners,state_total_jackpots
Mega Millions,Arizona,2,518000000
Mega Millions,Arkansas,1,174000000
Mega Millions,California,16,2813500000
Mega Millions,Florida,3,897000000
Mega Millions,Georgia,4,520000000
Mega Millions,Illinois,8,2780333333
Mega Millions,Indiana,1,540000000
Mega Millions,Kansas,2,387333333
Mega Millions,Maryland,4,628333333
Mega Millions,Massachusetts,1,30500000
Mega Millions,Michigan,5,1185500000
Mega Millions,Minnesota,1,106000000
Mega Millions,Missouri,2,75000000
Mega Millions,New Hampshire,1,168000000
Mega Millions,New Jersey,9,1362000000
Mega Millions,New York,14,2114000000
Mega Millions,Ohio,4,756000000
Mega Millions,Pennsylvania,3,816000000
Mega Millions,Rhode Island,1,21500000
Mega Millions,South Carolina,1,1537000000
Mega Millions,Tennessee,2,81000000
Mega Millions,Texas,4,329000000
Mega Millions,Virginia,2,102500000
Mega Millions,Washington,2,182000000
Mega Millions,Wisconsin,1,119000000
