game_name,state,number_winners,state_total_jackpots
Powerball,Vermont,1,366700000
Powerball,Virginia,1,217200000
Powerball,Washington,1,90000000
Powerball,Delaware,10,188266666
Powerball,Nebraska,10,61450000
Powerball,California,11,3239900000
Powerball,Kansas,11,50000000
Powerball,New Hampshire,11,1046700000
Powerball,New Jersey,11,1308933332
Powerball,New York,12,1546900000
Powerball,Arizona,14,1015750000
Powerball,Florida,16,2872566666
Powerball,Louisiana,17,263666666
Powerball,Pennsylvania,19,1017800000
Powerball,Wisconsin,19,1262900000
Powerball,Illinois,2,50000000
Powerball,Puerto Rico,2,238033333
Powerball,Texas,2,228033333
Powerball,Minnesota,22,149466666
Powerball,Colorado,3,223200000
Powerball,Maryland,3,731100000
Powerball,Ohio,3,124900000
Powerball,Missouri,31,734350000
Powerball,Indiana,39,435300000
Powerball,Michigan,5,797500000
Powerball,Oregon,5,150400000
Powerball,Georgia,6,246800000
Powerball,Massachusetts,6,870150000
Powerball,North Carolina,6,532633333
Powerball,South Carolina,6,399400000
Powerball,Tennessee,7,1601600000
Powerball,Rhode Island,8,396400000
Powerball,Connecticut,9,245300000
Powerball,Iowa,9,787000000
Powerball,West Virginia,9,136400000
