game_name,drawing_date,number_drawn
Powerball,1/4/2012,50
Powerball,1/4/2012,35
Powerball,1/4/2012,21
Powerball,1/4/2012,47
Powerball,1/4/2012,46
Powerball,1/7/2012,3
Powerball,1/7/2012,24
Powerball,1/7/2012,38
Powerball,1/7/2012,21
Powerball,1/7/2012,39
Powerball,1/11/2012,47
Powerball,1/11/2012,5
Powerball,1/11/2012,29
Powerball,1/11/2012,45
Powerball,1/11/2012,19
Powerball,1/14/2012,41
Powerball,1/14/2012,30
Powerball,1/14/2012,10
Powerball,1/14/2012,36
Powerball,1/14/2012,38
Powerball,1/18/2012,50
Powerball,1/18/2012,34
Powerball,1/18/2012,29
Powerball,1/18/2012,6
Powerball,1/18/2012,44
Powerball,1/21/2012,44
Powerball,1/21/2012,12
Powerball,1/21/2012,43
Powerball,1/21/2012,24
Powerball,1/21/2012,45
Powerball,1/25/2012,28
Powerball,1/25/2012,19
Powerball,1/25/2012,29
Powerball,1/25/2012,47
Powerball,1/25/2012,4
Powerball,1/28/2012,41
Powerball,1/28/2012,54
Powerball,1/28/2012,59
Powerball,1/28/2012,33
Powerball,1/28/2012,5
Powerball,2/1/2012,8
Powerball,2/1/2012,13
Powerball,2/1/2012,59
Powerball,2/1/2012,17
Powerball,2/1/2012,34
Powerball,2/4/2012,23
Powerball,2/4/2012,56
Powerball,2/4/2012,43
Powerball,2/4/2012,45
Powerball,2/4/2012,15
Powerball,2/8/2012,38
Powerball,2/8/2012,51
Powerball,2/8/2012,17
Powerball,2/8/2012,28
Powerball,2/8/2012,39
Powerball,2/11/2012,37
Powerball,2/11/2012,52
Powerball,2/11/2012,10
Powerball,2/11/2012,1
Powerball,2/11/2012,57
Powerball,2/15/2012,12
Powerball,2/15/2012,11
Powerball,2/15/2012,32
Powerball,2/15/2012,56
Powerball,2/15/2012,52
Powerball,2/18/2012,23
Powerball,2/18/2012,50
Powerball,2/18/2012,28
Powerball,2/18/2012,59
Powerball,2/18/2012,56
Powerball,2/22/2012,17
Powerball,2/22/2012,39
Powerball,2/22/2012,16
Powerball,2/22/2012,7
Powerball,2/22/2012,51
Powerball,2/25/2012,54
Powerball,2/25/2012,11
Powerball,2/25/2012,6
Powerball,2/25/2012,42
Powerball,2/25/2012,53
Powerball,2/29/2012,26
Powerball,2/29/2012,1
Powerball,2/29/2012,11
Powerball,2/29/2012,4
Powerball,2/29/2012,23
Powerball,3/3/2012,47
Powerball,3/3/2012,30
Powerball,3/3/2012,29
Powerball,3/3/2012,49
Powerball,3/3/2012,45
Powerball,3/7/2012,45
Powerball,3/7/2012,35
Powerball,3/7/2012,47
Powerball,3/7/2012,46
Powerball,3/7/2012,12
Powerball,3/10/2012,5
Powerball,3/10/2012,41
Powerball,3/10/2012,20
Powerball,3/10/2012,14
Powerball,3/10/2012,17
Powerball,3/14/2012,1
Powerball,3/14/2012,8
Powerball,3/14/2012,59
Powerball,3/14/2012,46
Powerball,3/14/2012,41
Powerball,3/17/2012,11
Powerball,3/17/2012,55
Powerball,3/17/2012,58
Powerball,3/17/2012,14
Powerball,3/17/2012,49
Powerball,3/21/2012,32
Powerball,3/21/2012,43
Powerball,3/21/2012,53
Powerball,3/21/2012,55
Powerball,3/21/2012,56
Powerball,3/24/2012,15
Powerball,3/24/2012,37
Powerball,3/24/2012,35
Powerball,3/24/2012,1
Powerball,3/24/2012,47
Powerball,3/28/2012,50
Powerball,3/28/2012,58
Powerball,3/28/2012,16
Powerball,3/28/2012,29
Powerball,3/28/2012,11
Powerball,3/31/2012,14
Powerball,3/31/2012,5
Powerball,3/31/2012,58
Powerball,3/31/2012,54
Powerball,3/31/2012,36
Powerball,4/4/2012,33
Powerball,4/4/2012,24
Powerball,4/4/2012,49
Powerball,4/4/2012,45
Powerball,4/4/2012,1
Powerball,4/7/2012,13
Powerball,4/7/2012,30
Powerball,4/7/2012,5
Powerball,4/7/2012,20
Powerball,4/7/2012,17
Powerball,4/11/2012,44
Powerball,4/11/2012,42
Powerball,4/11/2012,16
